Listing(Listing-1) - November 06, 2018, (15:38)

Sample Number         My Bus 1              Time                         clk
Signed Decimal        Hex                   Absolute                     Hex
__________________    __________________    _________________________    _________________

-49643                FF                    -24.821500000 s              0
-49642                F9                    -24.821000000 s              1
-49641                FF                    -24.820500000 s              0
-49640                F9                    -24.820000000 s              1
-49639                FF                    -24.819500000 s              0
-49638                F9                    -24.819000000 s              1
-49637                FF                    -24.818500000 s              0
-49636                F9                    -24.818000000 s              1
-49635                FF                    -24.817500000 s              0
-49634                F9                    -24.817000000 s              1
-49633                FF                    -24.816500000 s              0
-49632                F9                    -24.816000000 s              1
-49631                FF                    -24.815500000 s              0
-49630                F9                    -24.815000000 s              1
-49629                FF                    -24.814500000 s              0
